"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"7191"	"LOC508459"	3.36511378844171	6.21622822981239	96.5361006009471	8.76313423378657e-23	1.2006370213711e-18
"8699"	"LOC107132707"	4.12872953942152	3.95919267432123	88.1396611271998	6.099234192947e-21	4.17828038387834e-17
"13028"	"TGM3"	2.67994523070848	8.44303144285402	86.9575977883334	1.10872943233922e-20	5.06356731749321e-17
"18109"	"FCAR"	3.62008306161392	4.91909725492447	84.1221756445103	4.65124189880873e-20	1.59316663138946e-16
"3540"	"UPP1"	4.33224643845784	6.56541490301416	78.476040620912	8.09744184533702e-19	2.21886101445925e-15
"25416"	"LOC101903832"	3.82305056007764	5.23468969739849	71.7899981232812	2.39362454517743e-17	5.46584164891266e-14
"7335"	"C7H19orf35"	3.00207322739925	4.91310638179284	67.7500653976634	1.85590654698903e-16	3.63253937147096e-13
"8790"	"SLC28A3"	4.77090846630656	6.84358891696305	66.9480547894723	2.78756325557018e-16	4.41580451279389e-13
"23582"	"IFIT3"	3.13676206039585	8.83223759449654	66.8696381816248	2.90068174696336e-16	4.41580451279389e-13
"15276"	"TCN1"	4.86087850285914	7.95439751134201	66.4650945930215	3.5614465035098e-16	4.87953785445878e-13
"21330"	"CCR1"	2.58254052766924	7.6847116230562	66.2646463908144	3.94267199743185e-16	4.91077718516488e-13
"17725"	"C5AR1"	2.28496718232978	8.35784564917773	65.1129577592181	7.07254823369852e-16	8.07508194582528e-13
"6621"	"BST1"	3.86403547659481	5.41041658726096	63.1898076397299	1.87717210391403e-15	1.8474058553563e-12
"4607"	"GPR84"	3.14583366913929	3.9573493136112	63.1787682652178	1.88772220823211e-15	1.8474058553563e-12
"15314"	"MYBPH"	2.51677043803503	5.89230946491849	62.3285059733564	2.90686823238392e-15	2.65513344345948e-12
"14870"	"DGAT2"	3.19915307304993	8.77419993848017	59.3686455816554	1.30735584172006e-14	1.11950514921291e-11
"11094"	"DYSF"	3.11357858980757	5.52416124943172	59.2372397883897	1.39763695092039e-14	1.12641316850354e-11
"21637"	"TREM1"	2.55472539230354	6.15334967315967	58.6056729864101	1.92660157198604e-14	1.46646489654338e-11
"13977"	"DCSTAMP"	4.08921723732319	4.51005100003221	58.0438662990616	2.56337470594881e-14	1.80032157100608e-11
"6619"	"LOC104968939"	3.21853914347138	4.6640067491257	57.9948755795645	2.62801484710033e-14	1.80032157100608e-11
"6488"	"KLHL8"	2.33281171997289	7.45173880016683	56.107852652712	6.86025697049098e-14	4.47582765489033e-11
"12544"	"RAB20"	3.09776271836665	4.31826505888948	55.508405010188	9.30602645526282e-14	5.75692952137461e-11
"1622"	"CXCR1"	2.74091884667734	7.50565595648096	55.4341640551438	9.66421275758092e-14	5.75692952137461e-11
"18153"	"LOC101905804"	3.77664300307585	7.00642085655529	55.0058946390165	1.2016888485233e-13	6.86014121400741e-11
"17726"	"C5AR2"	2.21713247780024	6.71105930268898	54.4307913557834	1.61019967375216e-13	8.82453829203136e-11
"23930"	"DMBT1"	6.01399505870445	3.28763928100223	54.2305494126215	1.78293280729407e-13	9.18679835150798e-11
"1856"	"PTAFR"	2.31388926106672	8.00179211610473	54.2005032546257	1.8104047550596e-13	9.18679835150798e-11
"25415"	"LOC107131983"	4.26333604896616	4.95984861604221	53.64974349474	2.39614974158278e-13	1.17248741462235e-10
"13091"	"LOC100847256"	5.7828849251019	4.54595798963081	53.3511669420842	2.78945477228437e-13	1.26913797150961e-10
"18154"	"OSCAR"	3.57877798665183	5.91140605412028	53.3040677674025	2.85714293408045e-13	1.26913797150961e-10
"26268"	"SHROOM4"	5.31956456010592	2.55306285968305	53.2753435908851	2.89922793191513e-13	1.26913797150961e-10
"7121"	"RAB3D"	2.43373348086466	6.18835581603221	53.2318118424372	2.96419349597165e-13	1.26913797150961e-10
"2981"	"GADD45A"	2.51459836821896	6.09357939707956	53.0734037355753	3.21313708975016e-13	1.33403609898991e-10
"1993"	"ALPL"	4.22740209841299	2.85936259448469	52.9205927118651	3.47309132926808e-13	1.39955365595006e-10
"890"	"MX2"	3.74049321954655	7.35964334956727	52.7310358199214	3.82498835329287e-13	1.49731901224187e-10
"1824"	"LOC101902670"	3.24489422164883	4.46907202627907	52.3462474444699	4.65286825188371e-13	1.77080410886274e-10
"11160"	"SLC8A1"	2.48641760560713	4.90186496959724	51.9413627225101	5.71830406276729e-13	2.11747253956688e-10
"678"	"PTX3"	4.77095672315953	1.62044222820564	51.832177113233	6.04529392589927e-13	2.17964663365121e-10
"26047"	"TRPC5"	4.00992707025589	3.2537256187607	51.7005116520979	6.46459006654959e-13	2.27106021799477e-10
"9612"	"SOD2"	2.81491621814651	8.57338025980963	51.5258604720404	7.06601827203775e-13	2.34781698901171e-10
"13453"	"MMP9"	4.48509944651013	4.09744417093328	51.4940811270773	7.18132803144475e-13	2.34781698901171e-10
"1025"	"LOC100847346"	5.06278739397711	3.68454830920579	51.489757270336	7.19716177932208e-13	2.34781698901171e-10
"22854"	"MEFV"	2.45120139275754	5.21149437340676	51.1120510263365	8.7241054120359e-13	2.77498297790965e-10
"15316"	"CHI3L1"	2.92605929919472	7.74566296564405	51.0702882071741	8.91170360032294e-13	2.77498297790965e-10
"18766"	"CD68"	2.61649247990034	6.43213111276663	50.97568187186	9.35174045461498e-13	2.79125297001275e-10
"462"	"BCL6"	2.76872901340391	8.17369007519516	50.9715584816982	9.37140622002676e-13	2.79125297001275e-10
"18155"	"TARM1"	2.67168868007708	7.40446842182155	50.5661421879669	1.15215636848449e-12	3.35865838395872e-10
"6476"	"GPAT3"	3.03402923424338	5.26490510614797	50.3497556217827	1.28646119572484e-12	3.67204267554708e-10
"1621"	"CXCR2"	2.62159638997512	8.8475374465667	50.1479424723854	1.42580553233167e-12	3.98672685683188e-10
"5703"	"APOBEC3A"	4.5876218196109	5.99840573872244	49.9308643816167	1.59259688736663e-12	4.36403399076203e-10
"2977"	"WLS"	2.39498357615644	8.3671784548392	49.5456563121898	1.93808491752128e-12	5.20660812842333e-10
"2430"	"S100A9"	3.49627087388729	10.0958161890327	49.4470961432902	2.03793973957417e-12	5.22013771204621e-10
"8410"	"CD274"	4.21654805893271	6.55365679051917	49.4329474283326	2.05269083784941e-12	5.22013771204621e-10
