"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"16034"	"RD3"	2.14964930364735	3.16531704422193	33.443923411736	7.33485878465485e-09	1.86359745417527e-06
"1856"	"PTAFR"	2.00132740049228	7.88212346764699	33.2964577406629	7.91266388849203e-09	1.95155973792715e-06
"16521"	"SDS"	2.76131135770787	12.4977439960084	33.2835034223426	7.96554995072304e-09	1.95155973792715e-06
"8700"	"SLC25A37"	2.72264055283348	7.63441955800868	33.2010076120887	8.31074564585551e-09	2.00041105721294e-06
"23930"	"DMBT1"	5.66953123356576	3.02095225394427	33.1236454650321	8.64806181121845e-09	2.02694988332797e-06
"23044"	"IGSF6"	3.22848569620458	7.97031069885014	33.108324185281	8.7164754457981e-09	2.02694988332797e-06
"2981"	"GADD45A"	2.18801258232532	5.97200723513823	32.9096992755159	9.65404060247617e-09	2.20755728443288e-06
"3341"	"CSF3R"	2.04860503579322	10.4756275705124	32.6518746177215	1.10233047807964e-08	2.479340026107e-06
"20161"	"ISG20"	2.89424729551852	7.24091333479722	32.4874709128756	1.19963443689988e-08	2.65467491520425e-06
"2977"	"WLS"	2.0364593921736	8.26986519173811	32.3692514274061	1.27487893961889e-08	2.77640302405893e-06
"13661"	"SLC45A4"	2.09670183529033	6.79332734260041	32.2801317589478	1.33471143207804e-08	2.8612876325173e-06
"1621"	"CXCR2"	2.22821867638148	8.73816228908086	32.166562450834	1.41505237797495e-08	2.98684901935635e-06
"2431"	"PGLYRP4"	2.41271210498214	2.38165588693674	31.9691758622053	1.56638449024262e-08	3.2561810918377e-06
"23254"	"NCF1"	2.37161593777222	8.78800928879989	31.7926391302813	1.71541629059739e-08	3.50948716963668e-06
"20133"	"MCTP2"	2.11904926179599	6.9049971626061	31.765676793763	1.73939597328932e-08	3.50948716963668e-06
"7121"	"RAB3D"	2.18021920566804	6.03410884944075	31.5915716789344	1.90253534240279e-08	3.78301230402411e-06
